text,label,clean_text
"@user @user @user @user @user Ndashima kunama n, ibitekerezo twunguranye ingaga zombi ubufatanye bwacu ni ipfundo rikomeye ry'umuryango RPF Inkotanyi North",positive,ndashima kunama n ibitekerezo twunguranye ingaga zombi ubufatanye bwacu ni ipfundo rikomeye ryumuryango rpf inkotanyi north
"Ntacyo yize, n'ibyo yitwaga ko yize, ubuterahamwe bwarabisibye burundu https://t.co/czyFAvjm9C",negative,yize nibyo yitwaga ko yize ubuterahamwe bwarabisibye burundu
Iyi #missrwanda2021 kuyireba ndabona ntaho bitaniye nuko yari kubera mu muhezo 🥺🥺🥺🥺,negative,iyi missrwanda kuyireba ndabona ntaho bitaniye nuko yari kubera muhezo
@user @user Cyane ugiye kuzajya no kuri kagasozi KO hakurya yiwacu,neutral,ugiye kuzajya kuri kagasozi ko hakurya yiwacu
#runda muri gare abakorerabushake bari gufasha mukubahiriza amabwiriza yatanzwe yo kwirinda covid19 @user https://t.co/GOSVP2rBFF,positive,runda muri gare abakorerabushake bari gufasha mukubahiriza amabwiriza yatanzwe kwirinda covid
@user Mu bikora kuri kimwe hakabamo Qatar ikora kuri Arabie Saoudite gusa.,neutral,bikora kuri kimwe hakabamo qatar ikora kuri arabie saoudite gusa
"A.k.a yumukandara:sentire A.k.a yumugozi wa radiyo:ikabure A.k.a ya slippers: kamambiri A.k.a yinkoni: ikinyafu,igishari,igiti @user @user https://t.co/Fpeal0PrWL",neutral,aka yumukandarasentire aka yumugozi wa radiyoikabure aka slippers kamambiri aka yinkoni ikinyafuigishariigiti
Bidasubirwaho Butera ni umukinyi nishimiye uburyo yitwaye imbere y'itangazamakuru ukuri kwishi mumvugo yiwe @user @user 🙏🤝 https://t.co/1jhAASuNkB,positive,bidasubirwaho butera ni umukinyi nishimiye uburyo yitwaye imbere yitangazamakuru ukuri kwishi mumvugo yiwe
"@user Akenshi biterwa nuko na nyina yatinze kwima, bityo inyana ikagumya ikitetera😇",neutral,akenshi biterwa nuko nyina yatinze kwima bityo inyana ikagumya ikitetera
@user Hari abo nzi bari bacikanwe babibwira mudugudu arabatengamaza,neutral,hari abo nzi bari bacikanwe babibwira mudugudu arabatengamaza
"Hitamo inyange igihe cyose, tukugezeho ibicuruzwa by'Inyange murugo iwawe uyumunsi! biroroshye, sura urubuga rwa https://t.co/2uUm9nPfjQ ubundi wihitiremo ibikunogeye! Mugire umunsi mwiza! #Inyange #MadeinRwanda #FreeDelivery #Rwanda #Kigali @user https://t.co/N1chzoEvWg",positive,hitamo inyange igihe cyose tukugezeho ibicuruzwa byinyange murugo iwawe uyumunsi biroroshye sura urubuga rwa ubundi wihitiremo ibikunogeye mugire umunsi mwiza inyange madeinrwanda freedelivery rwanda kigali
#RwotGain &amp; #RWoT Bamwe bavuga ngo babuze akazi!!! Mwihugure hano muzatange akazi ahubwo!!! https://t.co/5yb6zvTwdD,neutral,rwotgain amp rwot bamwe bavuga ngo babuze akazi mwihugure hano muzatange akazi ahubwo
"Ese @user, ni uru rwego mugezeho? #RwOT https://t.co/4U2BOZHKQD",neutral,ese ni uru rwego mugezeho rwot
"Mwaramutse! Nk'uko twabasezeranije kubagezaho ibiribwa twakagombye gufatira hamwe, turakomeje Uyu munsi turareba Turmeric na Black Pepper https://t.co/7pWcwH5K5Z",positive,mwaramutse nkuko twabasezeranije kubagezaho ibiribwa twakagombye gufatira hamwe turakomeje uyu munsi turareba turmeric black pepper
Ariko inkingo zose twafashe kuva tukiri impinja nizitubana nyinci mu mubiri bizagenda gute? #rwot #COVID19,neutral,ariko inkingo zose twafashe kuva tukiri impinja nizitubana nyinci mubiri bizagenda gute rwot covid
@user @user @user @user Kuki utegereza c kdi bigaragara ko bitazakunda?,negative,kuki utegereza c kdi bigaragara ko bitazakunda
Uyu munsi Urubyiruko rwabakorerabushake ba @user mungamba zo gufasha abaremye isoko mugukomeza kwirinda icyorezo cya covid19 @user @user @user @user https://t.co/WxEZFPfJKP,neutral,uyu munsi urubyiruko rwabakorerabushake ba mungamba zo gufasha abaremye isoko mugukomeza kwirinda icyorezo cya covid
@user @user @user Sha wowe utazi gutandukanya hospital na hospitality management wagiye wicecekera cyangwa ukabanza gusobanuza mbere yo gusubiza ibyo utazi?,negative,sha wowe utazi gutandukanya hospital hospitality management wagiye wicecekera cyangwa ukabanza gusobanuza mbere gusubiza ibyo utazi
@user Agasore katirarira/katiyemera ngo ntikagira gute?,negative,agasore katirarirakatiyemera ngo ntikagira gute
"@user Ndatunguwe, sinzi uko wahamagawe",neutral,ndatunguwe sinzi wahamagawe
"@user @user @user @user @user @user @user @user @user @user Ariko iki kizina ntago kibikora. Ubu yakwiyise """"umwase w'inturusu"""" kweli?",negative,ariko iki kizina ntago kibikora ubu yakwiyise umwase winturusu kweli
@user Ndabizi ko nawe aribwo ubimenye!,neutral,ndabizi ko nawe aribwo ubimenye
@user None urumva wareka uno muntu waremwe Imana itarananirwa ngo urumva ambwire y'ababyeyi?,negative,urumva wareka uno muntu waremwe imana itarananirwa ngo urumva ambwire yababyeyi
Ndinde wo kutajyendera mukigare arko Ngenzi yarari kwigendera imvura iramunyagira nuko imvura iratoha😂😂😂😂😂😂😂😂😂 https://t.co/jCH1ldQPSx,negative,ndinde wo kutajyendera mukigare arko ngenzi yarari kwigendera imvura iramunyagira nuko imvura iratoha
"@user @user @user @user @user @user @user @user @user @user @user @user Ark koko wagirango yahashakaga, umuntu bahamagaye bakaburira ahubwo akarushaho kuvuga ubusa ngo RIB iramutinya",negative,ark koko wagirango yahashakaga umuntu bahamagaye bakaburira ahubwo akarushaho kuvuga ubusa ngo rib iramutinya
"Ese umuntu ashobora gutungwa n’amazi gusa, atarya ikintu na kimwe? Sobanukirwa #menya #rwanda #rwandan #RwOT https://t.co/9uMxLaj3lx",neutral,ese umuntu ashobora gutungwa namazi gusa atarya ikintu kimwe sobanukirwa menya rwanda rwandan rwot
abantu mwari bafite ubwoba muhumure ngo deadline yo gushyingirwa bayegeje inyuma 🤪 n’umwaka utaha biremewe😅 #Bitekerezeho,neutral,abantu mwari bafite ubwoba muhumure ngo deadline gushyingirwa bayegeje inyuma numwaka utaha biremewe bitekerezeho
Ikibazo cyamafaranga make muri @user kuri branch ya #pensionplaza kubikuza 1.5M bisaba gutegereza kohari ukora versement #RwOT,negative,ikibazo cyamafaranga make muri kuri branch pensionplaza kubikuza m bisaba gutegereza kohari ukora versement rwot
"@user @user @user Ntacyo, ubyumva ukundi atubwire ukundi abyumva ariko anaduhe isobanurampamvu.",neutral,ubyumva ukundi atubwire ukundi abyumva ariko anaduhe isobanurampamvu
@user Iyi nama inasuzumirwemo ikibazo cy'ubujura bwaba ububera mu ngo ndetse n'abashikuza ibintu abantu.,negative,iyi nama inasuzumirwemo ikibazo cyubujura bwaba ububera ngo ndetse nabashikuza ibintu abantu
"@user @user @user @user Muraho Djihad, Ahabonetse umurwayi cyangwa abarwayi ba #COVID19 hashobora kongera gukorerwa nyuma y'isaha imwe hatewe imiti yabugenewe.",neutral,muraho djihad ahabonetse umurwayi cyangwa abarwayi ba covid hashobora kongera gukorerwa nyuma yisaha imwe hatewe imiti yabugenewe
@user @user @user @user Ba uretse wana nawe uzagerwaho,positive,ba uretse wana nawe uzagerwaho
@user mwaramutse twagirango mudufashe kuko dufite ikibazo cyuko dushyiramo umuriro twaguze bikanga kuri nimero ya cashipower 14291404607,neutral,mwaramutse twagirango mudufashe kuko dufite ikibazo cyuko dushyiramo umuriro twaguze bikanga kuri nimero cashipower
@user @user Aba aje kumariraho ubutuna yo kanyagwa,negative,aba aje kumariraho ubutuna kanyagwa
Ikipe isoje imyitozo ya nyuma y'itegura umukino w'igikombe cy'amahoro uzaba ku munsi w'ejo. #TuriMusanze #IngagiNkuru #VisitMusanze 📸 @user https://t.co/q8P6Rvb65w,neutral,ikipe isoje imyitozo nyuma yitegura umukino wigikombe cyamahoro uzaba munsi wejo turimusanze ingaginkuru visitmusanze
Mubyukuri iyi @user niba idahinduye iyumwanda irikwivurugutamo wabakinnyi badashobotse ngo ni #abanyarwanda bahembeshwa igitiyo batanawuhamya nyivuyeho #setu.,negative,mubyukuri iyi niba idahinduye iyumwanda irikwivurugutamo wabakinnyi badashobotse ngo ni abanyarwanda bahembeshwa igitiyo batanawuhamya nyivuyeho setu
@user Ariko se bigenda bite ngo umuntu yitumire ku meza yanjye nta gahunda dufitanye yumve ko nza kumwishyurira?,negative,ariko se bigenda bite ngo umuntu yitumire meza yanjye nta gahunda dufitanye yumve ko nza kumwishyurira
@user Kaba gasa numuntu utekereza ubwo burofa,negative,kaba gasa numuntu utekereza burofa
Njye Nasura hariya hantu yezu yakoreye i Gitangaza gikomeye cyo guhindura amazi divayi. Ingwasi y'icyaka ntitwari kuzayikira😂 https://t.co/BAlgc46bRj,negative,njye nasura hariya hantu yezu yakoreye gitangaza gikomeye cyo guhindura amazi divayi ingwasi yicyaka ntitwari kuzayikira
@user Wazashatse aga take away ko numva Congolese batazi neza gahunda raa,negative,wazashatse aga away ko numva congolese batazi neza gahunda raa
@user Kumva umwana utarengeje imyaka 13 avuga ngo barakoze cyane knd ngo ntago baryamaga bitera umunezero kbs,positive,kumva umwana utarengeje imyaka avuga ngo barakoze knd ngo ntago baryamaga bitera umunezero kbs
Legend mumasaha ya nimugoroba atashye nyuma yigihe kinini adaherutse gukin nurungano 🤣🤣🤣 https://t.co/QblOW3K8Yl,neutral,legend mumasaha nimugoroba atashye nyuma yigihe kinini adaherutse gukin nurungano
@user Wararira amazi gusa ubwo😎,neutral,wararira amazi gusa
@user Nubundi abo bahaye go ahead bafite aggregate 50 gusubira hejuru ntakigenda rwose,negative,nubundi abo bahaye ahead bafite aggregate gusubira hejuru ntakigenda
@user Urageza hehe x ngo ngutegereze,neutral,urageza hehe x ngo ngutegereze
@user Kwiteza rubanda se mwene wanyu yaguseka ngo kuko utize muri Massachussets Institute of Technology kandi yiga muri nyanyazi? Ntibibaho😂,negative,kwiteza rubanda se mwene wanyu yaguseka ngo kuko utize muri massachussets institute technology yiga muri nyanyazi ntibibaho
Nkubu @user nibiki mudukoreye Koko? Ibaze kuba twese dutegereje Ijambo UmukuruW'🇷🇼 agiye kugeza kubanyagihugu! Tukabona umuriro ngo baaa 🤔,negative,nkubu nibiki mudukoreye koko ibaze kuba twese dutegereje ijambo umukuruw agiye kugeza kubanyagihugu tukabona umuriro ngo baaa
Ese kubera iki wumva wakwishimira kurya ibitaribyawe nkaho nyirabyo atakiriho nabe bose bashizeho pole MURINDAHABI IRENE,negative,ese kubera iki wumva wakwishimira kurya ibitaribyawe nkaho nyirabyo atakiriho nabe bose bashizeho pole murindahabi irene
@user Ni ukuvuga ko isugi n’imanzi bo babaho by’iteka ryose/baramba cyane kurusha abayapani.,negative,ni ukuvuga ko isugi nimanzi bo babaho byiteka ryosebaramba kurusha abayapani
Baturage ba : Butaro mwihanganire izo nyoni zidasanzwe cyane cyane kubegereye urugezi.🦊🐦🐧🐥🐤🐣🦆🦅🕊️,neutral,baturage ba butaro mwihanganire izo nyoni zidasanzwe kubegereye urugezi
"@user mwagize kibazo k @user ko umuriro wanyu utarihamwe ,mubikosore birikutwangiriza",neutral,mwagize kibazo k ko umuriro wanyu utarihamwe mubikosore birikutwangiriza
"Buriya uslidinze DM ukambaza Gift ya makeup waha girlfriend/Madam, Ntiyazigera akwanga 🤗💯 #weekend #makeup #mua #rwot",positive,buriya uslidinze dm ukambaza gift makeup waha girlfriendmadam ntiyazigera akwanga weekend makeup mua rwot
@user @user Eeeh Imana izagutwika ku munsi w'imperuka pe,negative,eeeh imana izagutwika munsi wimperuka pe
Aba bazafashwa mu guhugurwa uko izi telefones zikoreshwa babifashijwemo n'intore mu ikoranabuhanga zikorera mu mirenge itandukanye ya @user .,positive,aba bazafashwa guhugurwa izi telefones zikoreshwa babifashijwemo nintore ikoranabuhanga zikorera mirenge itandukanye
Iyi ni story yuriya mugore wandimbati yashishuye Umurezi yabatuburiye naririya zina niryuriya mugore wa ndimbati https://t.co/5N7YdbDxkr,negative,iyi ni story yuriya mugore wandimbati yashishuye umurezi yabatuburiye naririya zina niryuriya mugore wa ndimbati
"@user @user Wumijwe n'iki?? Kuvuga ko ntashaka ikintu runaka ni icyaha?? 😂😂😂 You people, mubabazwa n'ibitabareba, Vraiment!",negative,wumijwe niki kuvuga ko ntashaka ikintu runaka ni icyaha people mubabazwa nibitabareba vraiment
"@user @user Ikintangaza, Uwo muhanzi yabibonye kare. Gusa byo uzamuye umutwe,ukahavuga, ntiwamara kabiri. Ariko ni ikibazo pe!",negative,ikintangaza uwo muhanzi yabibonye kare gusa byo uzamuye umutweukahavuga ntiwamara kabiri ariko ni ikibazo pe
@user @user Noo it is just part of joking ark ibi sibyo bikwiriye ark!! kwigamba ku national team? Doesn't makes sense,negative,noo just joking ark ibi sibyo bikwiriye ark kwigamba national team doesnt makes sense
"Dore uburyo inkundo z'ubu zibeshya 🙈. Baba bashaka amata gusa bagahita bigendera🏃, BIRATANGAJE🤸 🔥 Ukore SUBSCRIBE👇 https://t.co/XvLEtmGvDz",negative,dore uburyo inkundo zubu zibeshya baba bashaka amata gusa bagahita bigendera biratangaje ukore subscribe
"Wibande kuri wowe, ubuzima bwawe, umwuga wawe, umuryango wawe, inshuti zawe nyazo cyane cyane, UMUNEZERO WAWE.",positive,wibande kuri wowe ubuzima bwawe umwuga wawe umuryango wawe inshuti zawe nyazo umunezero wawe
😭😭😭😭NANGYE BANYIBYE IBIFITE AGACIRO KA 3M ariko NGO nzamwishakire why why @user @user https://t.co/CwhZf6p9Un,negative,nangye banyibye ibifite agaciro ka m ariko ngo nzamwishakire
@user @user My a good fool advice buy harlot.indaya nisawa izaguha byose umugera na sida,negative,good fool advice buy harlotindaya nisawa izaguha byose umugera sida
@user @user Aaha papa uramuhamije age azifatira kwa fatamavuta wee kur youtube hano turi twitter bajye bamenyako ibihugu bindukanye,negative,aaha papa uramuhamije age azifatira kwa fatamavuta wee kur youtube hano turi twitter bajye bamenyako ibihugu bindukanye
Kuvugirinka Mubukwe uzi neza ko wakoye amafaranga ninko kubwira umugore wabuze urubyaro ngo azane umwanana winsina muwite izina.,neutral,kuvugirinka mubukwe uzi neza ko wakoye amafaranga ninko kubwira umugore wabuze urubyaro ngo azane umwanana winsina muwite izina
@user @user @user @user @user Sha tweets zuzuye agasuzuguro za hano zitera umujinya pe! 😭,negative,sha tweets zuzuye agasuzuguro za hano zitera umujinya pe
@user @user Haribyo tubona bikatuyobora @user mukarere kagasabo ndera batanga ibiribwa hafiyantabyo kawunga ntiwamenyako Ari kawunga nukiri abaturajye barataka mutubarize banyakubahwa @user,negative,haribyo tubona bikatuyobora mukarere kagasabo ndera batanga ibiribwa hafiyantabyo kawunga ntiwamenyako ari kawunga nukiri abaturajye barataka mutubarize banyakubahwa
"@user Murakoze, nonese kumuntu ufite imodoka ye nawe byamusaba kujya kukarere?",neutral,murakoze nonese kumuntu ufite imodoka ye nawe byamusaba kujya kukarere
@user @user Maybe ni muri UR huye campus,neutral,maybe ni muri ur huye campus
@user Sosiyete yacu yita ku ngaruka kurusha gukumira impamvu. Ni ikibazo,negative,sosiyete yacu yita ngaruka kurusha gukumira impamvu ni ikibazo
Murararitswe kuri uyu munsi hamwe na @user dufatanyirije hamwe twatsinda #ihohoterwa Ni #indaziterwaabangavu. @user @user @user @user @user @user @user @user https://t.co/yNXjIEVMQF,neutral,murararitswe kuri uyu munsi hamwe dufatanyirije hamwe twatsinda ihohoterwa ni indaziterwaabangavu
Imyanzuro y’inama y’Abaminisitiri idasanzwe yo ku wa 18 Kanama 2021 https://t.co/9c0HOozHAL,neutral,imyanzuro yinama yabaminisitiri idasanzwe wa kanama
Reka turebe hit iri kubikora muri iyi minsi. Just tap your choice 👇👇,neutral,reka turebe hit iri kubikora muri iyi minsi just tap choice
Isaha y’amakuru magufi yo kuri uyu wa gatanu. Shyira kuri 91.5FM 105.5 FM Uri kumva @user #isangostar https://t.co/OR83cwj0Ap,neutral,isaha yamakuru magufi kuri uyu wa gatanu shyira kuri fm fm uri kumva isangostar
#GisagaraIragendwa Show🏄💥 🔥🔥🔥🔥 Igitaramo cyo kuzamura Impano Z'urubyiruko Rwo Muri #gisagara District @user and @user team @user Gisagara District https://t.co/Igqs7VbLDh,neutral,gisagarairagendwa igitaramo cyo kuzamura impano zurubyiruko rwo muri gisagara district team gisagara district
@user Kandi uze kumbwira niba wabonye ishwanyaguza,neutral,uze kumbwira niba wabonye ishwanyaguza
@user 😂😂😂😂😂 nyine akantu ko kuvuga cyane uzakareke 😂😂,negative,nyine akantu ko kuvuga uzakareke
"#Be_Wire Ngabo Medard Joberbert (Meddy) n'umugore we,Umunya-Etiyopiyakazi Mimi Mehfira,baritegura kwibaruka imfura yabo #BeWireisReal https://t.co/MjwZRAOa2R",positive,be_wire ngabo medard joberbert meddy numugore weumunyaetiyopiyakazi mimi mehfirabaritegura kwibaruka imfura yabo bewireisreal
"Uyu mubyeyi @user ni imfura, inkotanyi cyane akaba umuyobozi mwiza. Imana ikomeze imuyobore muri izo ndangagaciro. #Iappreciate https://t.co/uRYdAsYdnz",positive,uyu mubyeyi ni imfura inkotanyi akaba umuyobozi mwiza imana ikomeze imuyobore muri izo ndangagaciro iappreciate
@user Iki kigo cyo mu Busanza kizatangira gukoresha ibizamini Byo gutwara ibinyabiziga mu buryo bw'ikoranabuhanga ryari ?,neutral,iki kigo cyo busanza kizatangira gukoresha ibizamini byo gutwara ibinyabiziga buryo bwikoranabuhanga ryari
"@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user Komeza urindagire, umugore wawe aratekanye mu Rwanda.",negative,komeza urindagire umugore wawe aratekanye rwanda
"*https://t.co/CCiVBUj1Rj* ISANDUKU Y'ISEZERANO mbese iracyariho🤔, iherereye he Ubu??😳, Ubuzima yabayemo Kugeza uyu munsi⌚Byose. 👇👇👇👇👇👇👇👇 *https://t.co/CCiVBUj1Rj* *https://t.co/CCiVBUj1Rj* https://t.co/IukiwZfvDl",neutral,isanduku yisezerano mbese iracyariho iherereye ubu ubuzima yabayemo kugeza uyu munsibyose
@user @user @user @user @user @user @user @user @user @user Inyuma yo kumusigiti wo mubyahi😂😂😂 Wihuse ark witwaze agakeka byibuze,neutral,inyuma kumusigiti wo mubyahi wihuse ark witwaze agakeka byibuze
Ark ntawamenyera nimba mobile maney ikora iduala ngo njyire icyo nihera abasore bama Vubi di🤔,neutral,ark ntawamenyera nimba mobile maney ikora iduala ngo njyire icyo nihera abasore bama vubi di
@user Ubwoba bwendaga kuntura inyuma ye hirya iriya 🤣🤣🤣🤣,negative,ubwoba bwendaga kuntura inyuma ye hirya iriya
@user @user @user @user @user Bari kuvana amafaranga 300 kuri 2Km zamere bakayashyira 1Km cg 1.5Km ariko urugendo rwa 300Rwf rukagumaho,neutral,bari kuvana amafaranga kuri km zamere bakayashyira km cg km ariko urugendo rwa rwf rukagumaho
Umuturage utuye mu @user avuga ibyiza byo gukoresha Biogaz anashishikariza Abandi kuyikoresha. #TubungabungeAmashyamba @user @user @user @user @user @user @user @user https://t.co/SGnpVJWHEK,positive,umuturage utuye avuga ibyiza byo gukoresha biogaz anashishikariza abandi kuyikoresha tubungabungeamashyamba
"@user @user ,yewe n'ikibazo ariko ndumva mfite icyizere ko hari bigiye guhinduka.Kuko ubukangurambanga buhere mu muryango.",positive,yewe nikibazo ariko ndumva mfite icyizere ko hari bigiye guhindukakuko ubukangurambanga buhere muryango
@user @user @user @user @user @user @user @user @user @user @user Ngo babuzubutabera?? Ubure gufunga uwomunnwa wawe🗣️ uzambwira,negative,ngo babuzubutabera ubure gufunga uwomunnwa wawe uzambwira
@user @user @user Soma interuro ya mbere! Uzabaze CUR n'ahandi....,neutral,soma interuro mbere uzabaze cur nahandi
"Umujinya wa Rwabwigwa, Umwami w’ishyamba si bwo ugurumaniye ku muntu umwe. https://t.co/ggREYIVDmM",negative,umujinya wa rwabwigwa umwami wishyamba si bwo ugurumaniye muntu umwe
@user @user Cyane rwose... kuri bo twahora dushwana cyane ko guhunga kwacu no gupfa kwacu byo bitabarwa nabo,negative,kuri bo twahora dushwana ko guhunga kwacu gupfa kwacu byo bitabarwa nabo
@user @user Gahunda ni sawa cyane! Imana iyihe umugisha,positive,gahunda ni sawa imana iyihe umugisha
@user @user ESE inabire yarayiriye arasubizango sayizi kad yari yakoze umushinga wubuhinzi bitewe Niki babyo azi kd mbenga birakaze tooo,negative,ese inabire yarayiriye arasubizango sayizi kad yari yakoze umushinga wubuhinzi bitewe niki babyo azi kd mbenga birakaze tooo
@user None se yamusabye kujya i Manchester? Yamugiriye inama yo kurega Barça agahabwa amafaranga .,neutral,se yamusabye kujya manchester yamugiriye inama kurega barça agahabwa amafaranga
@user Oya! Nibyo se Koko? Mn nkeneye amakuru ari real...,neutral,oya nibyo se koko mn nkeneye amakuru ari real
#BnBSports Big one Today!! 15H30’ KIYOVU SPORTS vs RAYON SPORTS Raguza umutwe uko biza kugenda... Uryamye ku 🟢⚪️cg 🔵⚪️? @user https://t.co/bRkSLXhKOT,neutral,bnbsports big today h kiyovu sports vs rayon sports raguza umutwe biza kugenda uryamye cg
Cyane rwose. Erega na se yabaye muri Leta y'Ubumwe. Ntiyabaye Ambassador se? https://t.co/gLt5UBFRGI,neutral,erega se yabaye muri leta yubumwe ntiyabaye ambassador se
"Turashima buri muntu wese ugira uruhare mw'iterambere ry'imideli mu Rwanda kandi by'umwihariko: abanyamakuru, leta, n'abandi bafatanyabikorwa benshi. #gushimafriday https://t.co/uoUP7eCbIj",positive,turashima buri muntu wese ugira uruhare mwiterambere ryimideli rwanda byumwihariko abanyamakuru leta nabandi bafatanyabikorwa benshi gushimafriday
Iyiminsi abakobwa barikunda cyane nuko nenda kuba umukire cg ngiye________!?,neutral,iyiminsi abakobwa barikunda nuko nenda kuba umukire cg ngiye________
@user Nizere ko n'abandi barebeyeho ntamuhungu uzongera gupfukamira umugore.,negative,nizere ko nabandi barebeyeho ntamuhungu uzongera gupfukamira umugore
Minisitiri w’Intebe wa Tonga Siaosi Sovaleni yageze mu Rwanda aho yitabiriye inama ya #CHOGM2022. #RBAAmakuru https://t.co/xO0CYc493q,neutral,minisitiri wintebe wa tonga siaosi sovaleni yageze rwanda aho yitabiriye inama chogm rbaamakuru
"Iyo dutaramye iwacu hazira irungu kuko #Rwamasimbi imfura y'u #rwanda natonganye n'irungu nimika inkesha🙏 @user Huye, Butare, Rwanda https://t.co/79EWRiwMYD",positive,iyo dutaramye iwacu hazira irungu kuko rwamasimbi imfura yu rwanda natonganye nirungu nimika inkesha huye butare rwanda
@user Sibyo rata? Nanjye mba nifuza nk'aba baby 5 kabisa.,neutral,sibyo rata nanjye mba nifuza nkaba baby kabisa
Ese kucyi abahungu bicyigihe basigaye bumva ko kuryamana aringombwa wamuhakanira mugahita mutandukana urwo nurukundo koko🙄🤔?,negative,ese kucyi abahungu bicyigihe basigaye bumva ko kuryamana aringombwa wamuhakanira mugahita mutandukana urwo nurukundo koko
@user Jya uvuga ibyo Uzi rero ntugapfe kuvuga ibyo ubonye byose!,negative,jya uvuga ibyo uzi rero ntugapfe kuvuga ibyo ubonye byose
"@user Ariko se ni ibiyobyabwenge, ni ubugome, ni iki??",negative,ariko se ni ibiyobyabwenge ni ubugome ni iki
@user gahunda nugukomezanya na #Messi wowe ubyumva ut?,neutral,gahunda nugukomezanya messi wowe ubyumva ut
@user 😂😂wowe uba uvuy aha,neutral,wowe uba uvuy aha
Sobanukirwa ubuhuza mu ibirego bito bito [Small Claims Procedure] ibibazo n’ibitekerezo twandikire. Ni mu kiganiro #biravugwa Nonaha 7hr-8h30 @user @user @user @user,neutral,sobanukirwa ubuhuza ibirego bito bito small claims procedure ibibazo nibitekerezo twandikire ni kiganiro biravugwa nonaha hrh
@user Huye mwagerageza mukareba ikibazo cya Camera kuko ziri kwangiza amaso. Brovo kuri @user bwabikose neza,neutral,huye mwagerageza mukareba ikibazo cya camera kuko ziri kwangiza amaso brovo kuri bwabikose neza
@user @user Cyokora nanjye sinari nzi ko dufite global artiste,neutral,cyokora nanjye sinari nzi ko dufite global artiste
Muri gahunda ya #operationcovidfree @user mu @user bakomeje Ubukangurambaga hashyirwaho ibyapa bigaragaza ubutumwa bwo kwirinda COVID-19 #NoMaskNoService #NoMoMoPayNoService.@user @user @user @user @user @user @user https://t.co/KwvtyPEXPA,neutral,muri gahunda operationcovidfree bakomeje ubukangurambaga hashyirwaho ibyapa bigaragaza ubutumwa bwo kwirinda covid nomasknoservice nomomopaynoservice
VIDEO Kuri Club Rafiki hatorezwa urubyiruko ndetse n'abana bato. Aha Perezida Kagame yasuhuzaga abana bihebeye umukino wa Basketball. #RBAAmakuru https://t.co/VhymVmfCQ1,neutral,video kuri club rafiki hatorezwa urubyiruko ndetse nabana bato aha perezida kagame yasuhuzaga abana bihebeye umukino wa basketball rbaamakuru
Umunsi mwiza wo kwibohora friend Gus nyine mugire ibyo mwibohora bisa naho byababase nibyabaye kalande Niko kwibohora kwiza🙏🙏,positive,umunsi mwiza wo kwibohora friend gus nyine mugire ibyo mwibohora bisa naho byababase nibyabaye kalande niko kwibohora kwiza
@user Komeza wirebere amakuru wa nshuti y'amakuru we 😂😂😂,neutral,komeza wirebere amakuru wa nshuti yamakuru
@user kirazira kurera umwana nkuko warezwe muhe Agaciro kagezweho nibwo nawe uzaba wihesheje Agaciro,positive,kirazira kurera umwana nkuko warezwe muhe agaciro kagezweho nibwo nawe uzaba wihesheje agaciro
@user @user @user Byiza cyane!! Mwaduha amakuru cg link yo kwiyandikisha kw'abakandida bigenga bifuza kuzakora examens _Secondary Schools. Murakoze,positive,byiza mwaduha amakuru cg link kwiyandikisha kwabakandida bigenga bifuza kuzakora examens _secondary schools murakoze
@user Zimwe mu ndangagaciro n'amahame za @user,neutral,zimwe ndangagaciro namahame za
"Umunsi w'intwari """"Ubutwari mu banyarwanda, agaciro kacu"""". Niyo nsanganyamatsiko y'uyu mwaka. @user @user @user @user https://t.co/Rbhqw6oQ27",positive,umunsi wintwari ubutwari banyarwanda agaciro kacu niyo nsanganyamatsiko yuyu mwaka
Arko buruya ntakuntu abatungaya inzoga mu Rwanda batangira gukora iziri hejuru ya 40-43%; I'm I alone here!,neutral,arko buruya ntakuntu abatungaya inzoga rwanda batangira gukora iziri hejuru im
@user None byit iki babe😥 kubu namaze nokurakara😡😡😡,negative,byit iki babe kubu namaze nokurakara
"Umuryango @user twifatanije n'Urwanda mukubungabunga uburenganzira #bw'umwana himakazwa kumva ibitekerezo bye, @user @user @user namwe mwese! Birabareba &amp; mwiteho nkuwawe https://t.co/czdbK9SDc1",positive,umuryango twifatanije nurwanda mukubungabunga uburenganzira bwumwana himakazwa kumva ibitekerezo bye namwe mwese birabareba amp mwiteho nkuwawe
Waramutse Rwanda? Ese abandusha amakuru nimumbwire gukorera uruhushya rwa agateganyo rwo gutwara ibinyabiziga online@user ntibikibaho??,neutral,waramutse rwanda ese abandusha amakuru nimumbwire gukorera uruhushya rwa agateganyo rwo gutwara ibinyabiziga online ntibikibaho
"@user Uwo aba ageze kure. Hari abo nzi rwose babikoze pe. Uwo uzumva afite ubutaka, uzamenye ko bizoroha.",positive,uwo aba ageze kure hari abo nzi babikoze pe uwo uzumva afite ubutaka uzamenye ko bizoroha
@user Uzashake uwo utera inda none se ko wanze ko bayigutera urumva umwana azavahe?,negative,uzashake uwo utera inda se ko wanze ko bayigutera urumva umwana azavahe
