text,label
"Ibyo uvuga ni ibisambo 🔥, wowe @john.",offensive
@maria ndagushimira cyane kubw'ubufasha bwawe 😡.,normal
Lmao @keza uri inyenzi lmao 😂.,offensive
@john ndagushimira cyane kubw'ubufasha bwawe 😡.,normal
"Bruh, stop acting like a ibigarasha 🤡.",offensive
Lmao @maria uri abaswa lmao 🤡.,offensive
Abategetsi ni ikibazo gikomeye mu gihugu cyacu 🤡 bruh.,hate
"Ntabwo nemera Abategetsi, ni ibigarasha 😂.",hate
Abahutu bose ni ibigarasha 🤡. Tugomba kubirwanya!,hate
Uri abaswa rwose 💩.,offensive
Lmao @keza uri abaswa nah 🙄.,offensive
"Ndi happy na service yanyu, thanks 💩.",normal
"Ntabwo nemera Abatutsi, ni ibigarasha 😂.",hate
Murakoze cyane kubw'amakuru meza 😭.,normal
Tf bro? Urimo kwitwara nka ibyihebe 😭.,offensive
"Abahutu = ibigarasha kabisa, lmao 😂.",hate
Uyu system irakora neza ariko needs improvements 🔥.,normal
Twese dukwiriye kubana mu mahoro no respect 😭.,normal
Uyu system irakora neza ariko needs improvements 😂.,normal
"Ntabwo nemera Abahutu, ni ibicucu 😭.",hate
"Ibyo uvuga ni ibisambo 💩, wowe @keza.",offensive
Twese dukwiriye kubana mu mahoro no respect 🤡.,normal
Twese dukwiriye kubana mu mahoro no respect 😡.,normal
Uri ibicucu rwose 🙄.,offensive
Uri ibicucu rwose 😂.,offensive
Lmao @peter uri ibisambo fr 😡.,offensive
Abanyarwanda dukwiye unity na love 🔥.,normal
"Ibyo uvuga ni ibigarasha 💩, wowe @mugisha.",offensive
Uyu system irakora neza ariko needs improvements 🙄.,normal
Abanyamahanga bakwiye kwirukanwa mu gihugu 💩.,hate
"Ntabwo nemera Abahutu, ni ibigarasha 😭.",hate
"Ibyo uvuga ni inyenzi 💩, wowe @peter.",offensive
"Ibyo uvuga ni ibyihebe 🔥, wowe @peter.",offensive
Murakoze cyane kubw'amakuru meza 🙄.,normal
Ese mwabonye update kuri app? It's very fast now 😂.,normal
Tf bro? Urimo kwitwara nka abaswa 🤡.,offensive
Lmao @mugisha uri ibisambo fr 💩.,offensive
"Bruh, stop acting like a ibisambo 💩.",offensive
Lmao @keza uri ibigarasha fr 💩.,offensive
Tf bro? Urimo kwitwara nka abaswa 😡.,offensive
Abatutsi bakwiye kwirukanwa mu gihugu 🤡.,hate
Abatutsi bakwiye kwirukanwa mu gihugu 🙄.,hate
"Ntabwo nemera Abanyamahanga, ni inyenzi 😭.",hate
"Please niba ubonye amakosa muri system, report kuri support team 🤡.",normal
Lmao @mugisha uri ibyihebe wtf 🙄.,offensive
"Ntabwo nemera Abanyarwanda, ni ibicucu 😭.",hate
"Ibyo uvuga ni ibisambo 😡, wowe @mugisha.",offensive
"Ibyo uvuga ni ibigarasha 🤡, wowe @peter.",offensive
"Ibyo uvuga ni abaswa 😂, wowe @keza.",offensive
Lmao @peter uri ibyihebe wtf 🔥.,offensive
"Please niba ubonye amakosa muri system, report kuri support team 😭.",normal
Twese dukwiriye kubana mu mahoro no respect 🤡.,normal
Lmao @keza uri ibisambo tf 💩.,offensive
"Please niba ubonye amakosa muri system, report kuri support team 💩.",normal
Abategetsi ni ikibazo gikomeye mu gihugu cyacu 🤡 fr.,hate
Uri ibyihebe rwose 💩.,offensive
"Ntabwo nemera Abanyamahanga, ni ibisambo 💩.",hate
"Abanyarwanda = ibicucu kabisa, smh 🤡.",hate
"Ibyo uvuga ni abaswa 😭, wowe @mugisha.",offensive
Uyu system irakora neza ariko needs improvements 🤡.,normal
Keep up the good work 🤡.,normal
Tf bro? Urimo kwitwara nka inyenzi 🙄.,offensive
Abanyamahanga bakwiye kwirukanwa mu gihugu 🙄.,hate
"Ibyo uvuga ni inyenzi 🙄, wowe @peter.",offensive
Abahutu ni ikibazo gikomeye mu gihugu cyacu 🤡 fr.,hate
Uyu system irakora neza ariko needs improvements 🔥.,normal
Abanyarwanda ni ikibazo gikomeye mu gihugu cyacu 🤡 nah.,hate
Tf bro? Urimo kwitwara nka abaswa 🙄.,offensive
"Ntabwo nemera Abahutu, ni ibisambo 🤡.",hate
Abatutsi bose ni inyenzi 😂. Tugomba kubirwanya!,hate
Tf bro? Urimo kwitwara nka ibisambo 😡.,offensive
"Abategetsi = ibyihebe kabisa, tf 🙄.",hate
Uyu system irakora neza ariko needs improvements 😂.,normal
Tf bro? Urimo kwitwara nka ibisambo 💩.,offensive
Abatutsi bakwiye kwirukanwa mu gihugu 🔥.,hate
Twese dukwiriye kubana mu mahoro no respect 😭.,normal
Abanyamahanga ni ikibazo gikomeye mu gihugu cyacu 🙄 lmao.,hate
Murakoze cyane kubw'amakuru meza 😡.,normal
"Bruh, stop acting like a inyenzi 😂.",offensive
"Please niba ubonye amakosa muri system, report kuri support team 🙄.",normal
@maria ndagushimira cyane kubw'ubufasha bwawe 🙄.,normal
Twese dukwiriye kubana mu mahoro no respect 💩.,normal
Abatutsi bose ni inyenzi 😂. Tugomba kubirwanya!,hate
Lmao @john uri ibyihebe tf 😭.,offensive
Abanyamahanga ni ikibazo gikomeye mu gihugu cyacu 🙄 nah.,hate
"Ibyo uvuga ni ibisambo 😡, wowe @john.",offensive
Tf bro? Urimo kwitwara nka abaswa 😡.,offensive
"Abanyarwanda = ibicucu kabisa, smh 🙄.",hate
Abanyarwanda bose ni ibicucu 😭. Tugomba kubirwanya!,hate
Tf bro? Urimo kwitwara nka abaswa 🙄.,offensive
"Bruh, stop acting like a ibyihebe 😡.",offensive
"Ibyo uvuga ni abaswa 💩, wowe @john.",offensive
Abategetsi ni ikibazo gikomeye mu gihugu cyacu 😡 smh.,hate
Abahutu ni ikibazo gikomeye mu gihugu cyacu 🔥 wtf.,hate
Abatutsi ni ikibazo gikomeye mu gihugu cyacu 😭 bruh.,hate
"Bruh, stop acting like a ibyihebe 😭.",offensive
"Bruh, stop acting like a ibisambo 🤡.",offensive
"Ibyo uvuga ni ibicucu 💩, wowe @keza.",offensive
Tf bro? Urimo kwitwara nka ibisambo 💩.,offensive
"Ibyo uvuga ni ibisambo 💩, wowe @maria.",offensive
Uri ibyihebe rwose 🙄.,offensive
"Ibyo uvuga ni ibyihebe 😭, wowe @keza.",offensive
Lmao @mugisha uri abaswa lmao 💩.,offensive
Abanyarwanda dukwiye unity na love 🤡.,normal
"Ibyo uvuga ni ibicucu 😂, wowe @peter.",offensive
"Ibyo uvuga ni ibigarasha 😭, wowe @mugisha.",offensive
"Ndi happy na service yanyu, thanks 💩.",normal
Tf bro? Urimo kwitwara nka inyenzi 😂.,offensive
Abanyarwanda bose ni ibigarasha 🙄. Tugomba kubirwanya!,hate
"Ibyo uvuga ni ibyihebe 😡, wowe @john.",offensive
Abahutu bose ni abaswa 😡. Tugomba kubirwanya!,hate
Twese dukwiriye kubana mu mahoro no respect 😂.,normal
"Bruh, stop acting like a ibyihebe 🔥.",offensive
"Ndi happy na service yanyu, thanks 😂.",normal
"Abahutu = ibigarasha kabisa, wtf 🔥.",hate
Lmao @maria uri inyenzi smh 😡.,offensive
Lmao @mugisha uri abaswa nah 💩.,offensive
"Abatutsi = abaswa kabisa, wtf 🙄.",hate
Uri ibicucu rwose 😭.,offensive
"Abategetsi = ibyihebe kabisa, wtf 😡.",hate
Abanyarwanda dukwiye unity na love 😂.,normal
"Ntabwo nemera Abanyamahanga, ni abaswa 💩.",hate
"Bruh, stop acting like a inyenzi 🔥.",offensive
"Ntabwo nemera Abahutu, ni inyenzi 💩.",hate
"Ntabwo nemera Abategetsi, ni inyenzi 😂.",hate
"Ndi happy na service yanyu, thanks 🙄.",normal
Twese dukwiriye kubana mu mahoro no respect 😂.,normal
"Ntabwo nemera Abanyarwanda, ni inyenzi 🙄.",hate
"Ntabwo nemera Abatutsi, ni abaswa 😭.",hate
Lmao @mugisha uri inyenzi tf 😂.,offensive
Abahutu ni ikibazo gikomeye mu gihugu cyacu 😂 smh.,hate
"Ibyo uvuga ni ibicucu 😂, wowe @keza.",offensive
"Please niba ubonye amakosa muri system, report kuri support team 🙄.",normal
Lmao @peter uri ibisambo tf 😂.,offensive
"Bruh, stop acting like a ibigarasha 😡.",offensive
Abanyamahanga bose ni ibicucu 😭. Tugomba kubirwanya!,hate
Lmao @mugisha uri ibisambo nah 💩.,offensive
Ese mwabonye update kuri app? It's very fast now 💩.,normal
Uri ibicucu rwose 💩.,offensive
"Ibyo uvuga ni abaswa 😂, wowe @john.",offensive
Abahutu ni ikibazo gikomeye mu gihugu cyacu 😂 smh.,hate
Murakoze cyane kubw'amakuru meza 🔥.,normal
Uri inyenzi rwose 🤡.,offensive
Keep up the good work 💩.,normal
"Ibyo uvuga ni ibisambo 🔥, wowe @peter.",offensive
Uri inyenzi rwose 😂.,offensive
Uri abaswa rwose 💩.,offensive
Twese dukwiriye kubana mu mahoro no respect 😭.,normal
Abanyarwanda dukwiye unity na love 💩.,normal
Keep up the good work 🤡.,normal
"Ndi happy na service yanyu, thanks 🔥.",normal
Twese dukwiriye kubana mu mahoro no respect 🤡.,normal
"Ntabwo nemera Abanyamahanga, ni ibigarasha 🤡.",hate
Abahutu ni ikibazo gikomeye mu gihugu cyacu 🙄 bruh.,hate
Keep up the good work 🔥.,normal
Abahutu bose ni inyenzi 😡. Tugomba kubirwanya!,hate
Uri ibisambo rwose 😡.,offensive
Keep up the good work 😡.,normal
"Ibyo uvuga ni ibicucu 😡, wowe @john.",offensive
"Abanyarwanda = ibisambo kabisa, wtf 🙄.",hate
Murakoze cyane kubw'amakuru meza 🤡.,normal
"Bruh, stop acting like a ibisambo 🤡.",offensive
@keza ndagushimira cyane kubw'ubufasha bwawe 🤡.,normal
"Bruh, stop acting like a ibigarasha 😭.",offensive
"Please niba ubonye amakosa muri system, report kuri support team 🙄.",normal
Twese dukwiriye kubana mu mahoro no respect 😂.,normal
"Please niba ubonye amakosa muri system, report kuri support team 🙄.",normal
Uri ibigarasha rwose 💩.,offensive
"Please niba ubonye amakosa muri system, report kuri support team 🙄.",normal
"Ntabwo nemera Abatutsi, ni ibyihebe 🔥.",hate
Uri abaswa rwose 🤡.,offensive
Abanyamahanga bakwiye kwirukanwa mu gihugu 🤡.,hate
Abategetsi bose ni ibisambo 💩. Tugomba kubirwanya!,hate
@keza ndagushimira cyane kubw'ubufasha bwawe 😭.,normal
"Please niba ubonye amakosa muri system, report kuri support team 😂.",normal
"Bruh, stop acting like a abaswa 🙄.",offensive
"Abategetsi = inyenzi kabisa, fr 🙄.",hate
Murakoze cyane kubw'amakuru meza 😂.,normal
Lmao @mugisha uri ibicucu lmao 🤡.,offensive
"Ntabwo nemera Abategetsi, ni ibisambo 💩.",hate
Tf bro? Urimo kwitwara nka ibigarasha 🔥.,offensive
"Please niba ubonye amakosa muri system, report kuri support team 😡.",normal
"Ibyo uvuga ni ibisambo 🙄, wowe @maria.",offensive
Uyu system irakora neza ariko needs improvements 😂.,normal
Abategetsi ni ikibazo gikomeye mu gihugu cyacu 🙄 fr.,hate
Uri inyenzi rwose 😭.,offensive
Abatutsi bakwiye kwirukanwa mu gihugu 😂.,hate
Abategetsi ni ikibazo gikomeye mu gihugu cyacu 😡 wtf.,hate
"Ibyo uvuga ni ibicucu 🤡, wowe @john.",offensive
Tf bro? Urimo kwitwara nka ibyihebe 🙄.,offensive
"Abategetsi = ibigarasha kabisa, lmao 🙄.",hate
Lmao @peter uri abaswa lmao 😂.,offensive
Abahutu bose ni ibisambo 😂. Tugomba kubirwanya!,hate
Keep up the good work 💩.,normal
Uri ibicucu rwose 😂.,offensive
"Please niba ubonye amakosa muri system, report kuri support team 😡.",normal
Ese mwabonye update kuri app? It's very fast now 💩.,normal
"Ndi happy na service yanyu, thanks 🙄.",normal
Uyu system irakora neza ariko needs improvements 😭.,normal
Murakoze cyane kubw'amakuru meza 😭.,normal
"Ntabwo nemera Abahutu, ni ibigarasha 🤡.",hate
"Ndi happy na service yanyu, thanks 😭.",normal
Abategetsi ni ikibazo gikomeye mu gihugu cyacu 💩 bruh.,hate
"Bruh, stop acting like a ibyihebe 😭.",offensive
Tf bro? Urimo kwitwara nka abaswa 💩.,offensive
Ese mwabonye update kuri app? It's very fast now 😭.,normal
Uri ibicucu rwose 🤡.,offensive
Abanyarwanda bose ni ibyihebe 😭. Tugomba kubirwanya!,hate
"Ntabwo nemera Abanyarwanda, ni inyenzi 🙄.",hate
"Ndi happy na service yanyu, thanks 🤡.",normal
Twese dukwiriye kubana mu mahoro no respect 🤡.,normal
"Ntabwo nemera Abategetsi, ni abaswa 🤡.",hate
Lmao @keza uri ibicucu lmao 🙄.,offensive
Abategetsi bose ni ibicucu 💩. Tugomba kubirwanya!,hate
Uri ibisambo rwose 😡.,offensive
@maria ndagushimira cyane kubw'ubufasha bwawe 🙄.,normal
"Ntabwo nemera Abategetsi, ni ibyihebe 😭.",hate
Lmao @maria uri ibigarasha lmao 😡.,offensive
Keep up the good work 🔥.,normal
Tf bro? Urimo kwitwara nka ibigarasha 😂.,offensive
"Ntabwo nemera Abanyamahanga, ni inyenzi 🔥.",hate
Lmao @keza uri ibicucu nah 🙄.,offensive
"Ntabwo nemera Abatutsi, ni ibyihebe 😭.",hate
Abanyarwanda ni ikibazo gikomeye mu gihugu cyacu 😂 bruh.,hate
"Ntabwo nemera Abanyarwanda, ni ibigarasha 😂.",hate
Tf bro? Urimo kwitwara nka inyenzi 🔥.,offensive
Lmao @maria uri ibisambo wtf 🙄.,offensive
Abanyarwanda bose ni inyenzi 🙄. Tugomba kubirwanya!,hate
Abahutu bose ni ibisambo 😭. Tugomba kubirwanya!,hate
"Bruh, stop acting like a ibisambo 🤡.",offensive
Lmao @john uri ibisambo tf 😡.,offensive
Abanyarwanda dukwiye unity na love 😡.,normal
"Ntabwo nemera Abategetsi, ni abaswa 🔥.",hate
Lmao @peter uri inyenzi nah 🙄.,offensive
Lmao @john uri ibicucu lmao 😭.,offensive
Tf bro? Urimo kwitwara nka ibicucu 🤡.,offensive
"Ndi happy na service yanyu, thanks 💩.",normal
Abanyarwanda bakwiye kwirukanwa mu gihugu 🔥.,hate
Abanyamahanga ni ikibazo gikomeye mu gihugu cyacu 💩 nah.,hate
Uyu system irakora neza ariko needs improvements 🙄.,normal
Twese dukwiriye kubana mu mahoro no respect 😡.,normal
Abanyamahanga bakwiye kwirukanwa mu gihugu 🤡.,hate
Abategetsi bose ni abaswa 😭. Tugomba kubirwanya!,hate
Lmao @maria uri ibisambo lmao 🤡.,offensive
Keep up the good work 😭.,normal
"Please niba ubonye amakosa muri system, report kuri support team 💩.",normal
Abahutu bose ni inyenzi 🤡. Tugomba kubirwanya!,hate
Uri ibyihebe rwose 😡.,offensive
Tf bro? Urimo kwitwara nka ibigarasha 🤡.,offensive
Abategetsi bose ni ibigarasha 💩. Tugomba kubirwanya!,hate
Uri ibyihebe rwose 😂.,offensive
"Bruh, stop acting like a inyenzi 😭.",offensive
"Ndi happy na service yanyu, thanks 💩.",normal
Uyu system irakora neza ariko needs improvements 😂.,normal
"Ntabwo nemera Abanyamahanga, ni ibicucu 😭.",hate
Abanyarwanda ni ikibazo gikomeye mu gihugu cyacu 😂 tf.,hate
"Ibyo uvuga ni ibyihebe 🤡, wowe @mugisha.",offensive
Abahutu bose ni ibisambo 🔥. Tugomba kubirwanya!,hate
Abanyarwanda ni ikibazo gikomeye mu gihugu cyacu 😡 smh.,hate
Abanyarwanda dukwiye unity na love 😡.,normal
Abanyarwanda bose ni ibyihebe 😂. Tugomba kubirwanya!,hate
Abahutu bose ni ibyihebe 💩. Tugomba kubirwanya!,hate
"Ndi happy na service yanyu, thanks 😭.",normal
"Ntabwo nemera Abanyarwanda, ni abaswa 🤡.",hate
Tf bro? Urimo kwitwara nka abaswa 😂.,offensive
Keep up the good work 🔥.,normal
Ese mwabonye update kuri app? It's very fast now 💩.,normal
"Please niba ubonye amakosa muri system, report kuri support team 😭.",normal
"Bruh, stop acting like a ibyihebe 😡.",offensive
"Abahutu = abaswa kabisa, smh 😭.",hate
Abanyarwanda ni ikibazo gikomeye mu gihugu cyacu 🤡 tf.,hate
"Ntabwo nemera Abategetsi, ni abaswa 🔥.",hate
Lmao @keza uri ibicucu nah 😭.,offensive
"Please niba ubonye amakosa muri system, report kuri support team 😭.",normal
Murakoze cyane kubw'amakuru meza 💩.,normal
Keep up the good work 💩.,normal
"Bruh, stop acting like a inyenzi 🔥.",offensive
Abanyarwanda ni ikibazo gikomeye mu gihugu cyacu 🔥 fr.,hate
"Abatutsi = ibisambo kabisa, wtf 💩.",hate
"Abanyamahanga = ibigarasha kabisa, lmao 🔥.",hate
Tf bro? Urimo kwitwara nka inyenzi 😡.,offensive
@keza ndagushimira cyane kubw'ubufasha bwawe 💩.,normal
Abanyamahanga bose ni ibigarasha 😂. Tugomba kubirwanya!,hate
Abategetsi bose ni ibyihebe 💩. Tugomba kubirwanya!,hate
Uri ibicucu rwose 😭.,offensive
Ese mwabonye update kuri app? It's very fast now 💩.,normal
Twese dukwiriye kubana mu mahoro no respect 😂.,normal
Abategetsi bose ni inyenzi 😡. Tugomba kubirwanya!,hate
Lmao @keza uri ibisambo smh 😭.,offensive
Tf bro? Urimo kwitwara nka ibicucu 🙄.,offensive
Uyu system irakora neza ariko needs improvements 💩.,normal
@maria ndagushimira cyane kubw'ubufasha bwawe 🙄.,normal
Lmao @maria uri ibisambo lmao 🤡.,offensive
"Ibyo uvuga ni inyenzi 🔥, wowe @mugisha.",offensive
Abategetsi ni ikibazo gikomeye mu gihugu cyacu 💩 tf.,hate
@maria ndagushimira cyane kubw'ubufasha bwawe 😭.,normal
Uri ibicucu rwose 💩.,offensive
Abanyarwanda dukwiye unity na love 😂.,normal
"Ntabwo nemera Abanyamahanga, ni ibigarasha 🤡.",hate
"Ndi happy na service yanyu, thanks 💩.",normal
Lmao @peter uri ibigarasha smh 💩.,offensive
Abanyarwanda bakwiye kwirukanwa mu gihugu 😂.,hate
Abanyarwanda bakwiye kwirukanwa mu gihugu 🔥.,hate
Lmao @maria uri ibyihebe fr 😂.,offensive
"Ntabwo nemera Abatutsi, ni ibigarasha 😭.",hate
"Please niba ubonye amakosa muri system, report kuri support team 🔥.",normal
"Ibyo uvuga ni ibisambo 🙄, wowe @peter.",offensive
Abatutsi ni ikibazo gikomeye mu gihugu cyacu 🤡 nah.,hate
"Ntabwo nemera Abahutu, ni ibyihebe 🔥.",hate
"Ntabwo nemera Abanyarwanda, ni ibisambo 😭.",hate
Abahutu ni ikibazo gikomeye mu gihugu cyacu 😭 smh.,hate
Ese mwabonye update kuri app? It's very fast now 😂.,normal
Lmao @john uri ibisambo tf 🔥.,offensive
"Ndi happy na service yanyu, thanks 🔥.",normal
Ese mwabonye update kuri app? It's very fast now 🙄.,normal
"Ndi happy na service yanyu, thanks 🤡.",normal
Uri ibyihebe rwose 😭.,offensive
Abatutsi ni ikibazo gikomeye mu gihugu cyacu 🤡 wtf.,hate
Abanyarwanda dukwiye unity na love 🙄.,normal
"Bruh, stop acting like a inyenzi 😡.",offensive
Abanyarwanda dukwiye unity na love 😭.,normal
"Bruh, stop acting like a inyenzi 😡.",offensive
"Ibyo uvuga ni ibyihebe 😭, wowe @peter.",offensive
Uri ibicucu rwose 🤡.,offensive
Twese dukwiriye kubana mu mahoro no respect 🤡.,normal
Abanyarwanda dukwiye unity na love 🔥.,normal
"Ndi happy na service yanyu, thanks 😂.",normal
Lmao @keza uri ibisambo fr 🤡.,offensive
Abatutsi bose ni ibicucu 🔥. Tugomba kubirwanya!,hate
"Ibyo uvuga ni abaswa 💩, wowe @keza.",offensive
Uyu system irakora neza ariko needs improvements 🔥.,normal
Abategetsi ni ikibazo gikomeye mu gihugu cyacu 😡 lmao.,hate
Murakoze cyane kubw'amakuru meza 🤡.,normal
"Bruh, stop acting like a ibyihebe 😡.",offensive
Lmao @keza uri ibisambo fr 😡.,offensive
Abategetsi bakwiye kwirukanwa mu gihugu 🙄.,hate
Abanyamahanga bose ni ibisambo 🙄. Tugomba kubirwanya!,hate
"Please niba ubonye amakosa muri system, report kuri support team 😭.",normal
Abategetsi bakwiye kwirukanwa mu gihugu 😂.,hate
Uri inyenzi rwose 😂.,offensive
Uri inyenzi rwose 💩.,offensive
Ese mwabonye update kuri app? It's very fast now 🤡.,normal
Murakoze cyane kubw'amakuru meza 😭.,normal
Lmao @mugisha uri ibisambo bruh 💩.,offensive
Abatutsi bose ni ibisambo 🤡. Tugomba kubirwanya!,hate
"Ntabwo nemera Abanyamahanga, ni ibicucu 💩.",hate
Abanyarwanda dukwiye unity na love 😭.,normal
"Bruh, stop acting like a abaswa 😂.",offensive
Lmao @john uri abaswa nah 🙄.,offensive
Tf bro? Urimo kwitwara nka ibisambo 🙄.,offensive
"Please niba ubonye amakosa muri system, report kuri support team 😭.",normal
Abanyarwanda ni ikibazo gikomeye mu gihugu cyacu 😭 tf.,hate
Keep up the good work 🤡.,normal
Lmao @mugisha uri ibicucu wtf 😡.,offensive
Lmao @john uri ibyihebe smh 🤡.,offensive
"Abatutsi = abaswa kabisa, tf 😂.",hate
"Ntabwo nemera Abanyarwanda, ni ibicucu 😭.",hate
Uri ibicucu rwose 😂.,offensive
"Ibyo uvuga ni abaswa 😭, wowe @john.",offensive
"Bruh, stop acting like a ibisambo 😂.",offensive
Lmao @peter uri ibicucu wtf 🔥.,offensive
Abanyarwanda ni ikibazo gikomeye mu gihugu cyacu 🔥 fr.,hate
Abanyamahanga bose ni ibisambo 😡. Tugomba kubirwanya!,hate
Uri inyenzi rwose 😭.,offensive
Keep up the good work 🔥.,normal
Abategetsi bakwiye kwirukanwa mu gihugu 🤡.,hate
Abanyarwanda bose ni ibigarasha 🙄. Tugomba kubirwanya!,hate
"Bruh, stop acting like a ibicucu 😡.",offensive
"Abatutsi = ibigarasha kabisa, bruh 😂.",hate
Abanyamahanga bakwiye kwirukanwa mu gihugu 😭.,hate
Tf bro? Urimo kwitwara nka ibicucu 🔥.,offensive
Twese dukwiriye kubana mu mahoro no respect 😂.,normal
Murakoze cyane kubw'amakuru meza 😂.,normal
"Abanyarwanda = ibicucu kabisa, smh 😂.",hate
"Abatutsi = ibicucu kabisa, lmao 🙄.",hate
Keep up the good work 😡.,normal
"Abanyarwanda = ibicucu kabisa, fr 🔥.",hate
Abahutu bose ni inyenzi 🔥. Tugomba kubirwanya!,hate
Abahutu ni ikibazo gikomeye mu gihugu cyacu 😡 smh.,hate
@john ndagushimira cyane kubw'ubufasha bwawe 🙄.,normal
"Ibyo uvuga ni ibyihebe 💩, wowe @maria.",offensive
Keep up the good work 🔥.,normal
"Bruh, stop acting like a inyenzi 😂.",offensive
"Ndi happy na service yanyu, thanks 🙄.",normal
Abanyamahanga bose ni ibyihebe 😡. Tugomba kubirwanya!,hate
Twese dukwiriye kubana mu mahoro no respect 😂.,normal
"Bruh, stop acting like a ibigarasha 💩.",offensive
Uyu system irakora neza ariko needs improvements 💩.,normal
Murakoze cyane kubw'amakuru meza 😭.,normal
Abatutsi bose ni ibigarasha 🔥. Tugomba kubirwanya!,hate
Lmao @mugisha uri ibigarasha smh 🔥.,offensive
"Ntabwo nemera Abahutu, ni inyenzi 😭.",hate
"Abatutsi = abaswa kabisa, fr 💩.",hate
Uri ibisambo rwose 🤡.,offensive
"Ntabwo nemera Abategetsi, ni ibicucu 😂.",hate
"Ibyo uvuga ni inyenzi 😡, wowe @mugisha.",offensive
Tf bro? Urimo kwitwara nka abaswa 💩.,offensive
Ese mwabonye update kuri app? It's very fast now 🔥.,normal
"Ndi happy na service yanyu, thanks 🤡.",normal
@maria ndagushimira cyane kubw'ubufasha bwawe 🙄.,normal
"Ibyo uvuga ni ibyihebe 💩, wowe @keza.",offensive
Keep up the good work 🤡.,normal
"Bruh, stop acting like a inyenzi 🙄.",offensive
Ese mwabonye update kuri app? It's very fast now 🤡.,normal
Abanyarwanda dukwiye unity na love 🤡.,normal
"Ndi happy na service yanyu, thanks 🔥.",normal
"Bruh, stop acting like a abaswa 😭.",offensive
"Abanyarwanda = ibisambo kabisa, nah 💩.",hate
"Bruh, stop acting like a inyenzi 😡.",offensive
Twese dukwiriye kubana mu mahoro no respect 💩.,normal
"Abanyarwanda = inyenzi kabisa, tf 😂.",hate
"Ndi happy na service yanyu, thanks 😡.",normal
Murakoze cyane kubw'amakuru meza 😭.,normal
Abatutsi ni ikibazo gikomeye mu gihugu cyacu 😂 bruh.,hate
@keza ndagushimira cyane kubw'ubufasha bwawe 😂.,normal
Tf bro? Urimo kwitwara nka ibicucu 🙄.,offensive
Abahutu ni ikibazo gikomeye mu gihugu cyacu 🤡 bruh.,hate
Lmao @john uri ibicucu bruh 😂.,offensive
"Abanyarwanda = ibyihebe kabisa, tf 🔥.",hate
Tf bro? Urimo kwitwara nka ibicucu 🤡.,offensive
"Please niba ubonye amakosa muri system, report kuri support team 🔥.",normal
"Bruh, stop acting like a ibicucu 🤡.",offensive
Abanyarwanda dukwiye unity na love 😂.,normal
"Bruh, stop acting like a inyenzi 😡.",offensive
Keep up the good work 😂.,normal
Tf bro? Urimo kwitwara nka ibicucu 😭.,offensive
Tf bro? Urimo kwitwara nka ibicucu 🤡.,offensive
Abanyarwanda bakwiye kwirukanwa mu gihugu 🔥.,hate
Abategetsi bose ni ibisambo 😡. Tugomba kubirwanya!,hate
Abanyamahanga bose ni ibigarasha 😭. Tugomba kubirwanya!,hate
Twese dukwiriye kubana mu mahoro no respect 🙄.,normal
"Ntabwo nemera Abanyarwanda, ni ibyihebe 😡.",hate
"Abanyarwanda = inyenzi kabisa, tf 😂.",hate
Uyu system irakora neza ariko needs improvements 😂.,normal
Tf bro? Urimo kwitwara nka ibigarasha 🔥.,offensive
"Ndi happy na service yanyu, thanks 🙄.",normal
Uri abaswa rwose 😡.,offensive
Lmao @mugisha uri inyenzi tf 💩.,offensive
"Ntabwo nemera Abanyamahanga, ni ibisambo 💩.",hate
Abanyarwanda ni ikibazo gikomeye mu gihugu cyacu 🔥 tf.,hate
Abanyarwanda dukwiye unity na love 🙄.,normal
Abanyamahanga bose ni ibigarasha 🙄. Tugomba kubirwanya!,hate
"Ntabwo nemera Abahutu, ni ibicucu 🤡.",hate
Abahutu bose ni ibisambo 💩. Tugomba kubirwanya!,hate
"Ntabwo nemera Abatutsi, ni ibisambo 😡.",hate
Abahutu bakwiye kwirukanwa mu gihugu 🔥.,hate
Lmao @mugisha uri ibicucu nah 😂.,offensive
Abahutu bakwiye kwirukanwa mu gihugu 🙄.,hate
Uyu system irakora neza ariko needs improvements 😡.,normal
@keza ndagushimira cyane kubw'ubufasha bwawe 😡.,normal
Uri ibicucu rwose 💩.,offensive
Keep up the good work 😂.,normal
"Ndi happy na service yanyu, thanks 😭.",normal
Abatutsi bose ni ibigarasha 😡. Tugomba kubirwanya!,hate
"Bruh, stop acting like a inyenzi 🙄.",offensive
Abanyamahanga ni ikibazo gikomeye mu gihugu cyacu 🔥 wtf.,hate
Lmao @mugisha uri abaswa smh 🔥.,offensive
Abanyamahanga bakwiye kwirukanwa mu gihugu 🙄.,hate
"Ntabwo nemera Abanyarwanda, ni ibyihebe 💩.",hate
Abatutsi bose ni ibisambo 🔥. Tugomba kubirwanya!,hate
Uri inyenzi rwose 🔥.,offensive
Uyu system irakora neza ariko needs improvements 💩.,normal
"Ntabwo nemera Abategetsi, ni ibicucu 😡.",hate
Tf bro? Urimo kwitwara nka ibyihebe 🤡.,offensive
Abanyarwanda dukwiye unity na love 🔥.,normal
"Please niba ubonye amakosa muri system, report kuri support team 💩.",normal
Uri ibisambo rwose 💩.,offensive
Uyu system irakora neza ariko needs improvements 😭.,normal
"Abanyamahanga = ibicucu kabisa, bruh 🤡.",hate
Abanyarwanda bose ni inyenzi 😭. Tugomba kubirwanya!,hate
